,School,Cases,County_Active_Cases,County_Total_Cases,City,County,State,Date
0,Alabama A&M University,41,,33660.0,Huntsville,Madison,Alabama,04-04-2021
1,Alabama State University,2,,23834.0,Montgomery,Montgomery,Alabama,04-04-2021
2,Athens State University,35,,9769.0,Athens,Limestone,Alabama,04-04-2021
3,Auburn University*,"2,134",,15457.0,Auburn,Lee,Alabama,04-04-2021
4,Auburn University at Montgomery,140,,23834.0,Montgomery,Montgomery,Alabama,04-04-2021
5,Bevill State Community College,4,,7070.0,Jasper,Walker,Alabama,04-04-2021
6,Birmingham-Southern College,214,,74942.0,Birmingham,Jefferson,Alabama,04-04-2021
7,Calhoun Community College,84,,9769.0,Tanner,Limestone,Alabama,04-04-2021
8,Central Alabama Community College,39,,3875.0,Alexander City,Tallapoosa,Alabama,04-04-2021
9,Enterprise State Community College,41,,5392.0,Enterprise,Coffee,Alabama,04-04-2021
10,Gadsden State Community College,62,,13653.0,Gadsden,Etowah,Alabama,04-04-2021
11,Jacksonville State University,219,,14249.0,Jacksonville,Calhoun,Alabama,04-04-2021
12,Lurleen B. Wallace Community College,19,,4048.0,Andalusia,Covington,Alabama,04-04-2021
13,Marion Military Institute,13,,1082.0,Marion,Perry,Alabama,04-04-2021
14,Samford University,480,,74942.0,Birmingham,Jefferson,Alabama,04-04-2021
15,Snead State Community College,19,,13653.0,Boaz,Etowah,Alabama,04-04-2021
16,Southern Union State Community College,59,,1754.0,Wadley,Randolph,Alabama,04-04-2021
17,Spring Hill College,124,,37590.0,Mobile,Mobile,Alabama,04-04-2021
18,Troy University,749,,3049.0,Troy,Pike,Alabama,04-04-2021
19,Troy University Dothan,17,,10357.0,Dothan,Houston,Alabama,04-04-2021
20,Troy University Montgomery,18,,23834.0,Montgomery,Montgomery,Alabama,04-04-2021
21,Troy University-Phenix City Campus,9,,,Phenix,,Alabama,04-04-2021
22,Tuskegee University,110,,,Tuskeegee,,Alabama,04-04-2021
23,University of Alabama,"3,361",,25179.0,Tuscaloosa,Tuscaloosa,Alabama,04-04-2021
24,University of Alabama at Birmingham*,"2,286",,74942.0,Birmingham,Jefferson,Alabama,04-04-2021
25,University of Alabama in Huntsville,210,,33660.0,Huntsville,Madison,Alabama,04-04-2021
26,University of Montevallo,140,,23116.0,Montevallo,Shelby,Alabama,04-04-2021
27,University of North Alabama,488,,9159.0,Florence,Lauderdale,Alabama,04-04-2021
28,University of South Alabama,507,,37590.0,Mobile,Mobile,Alabama,04-04-2021
29,University of West Alabama,30,,1029.0,Livingston,Sumter,Alabama,04-04-2021
30,University of Alaska Anchorage,12,,28651.0,Anchorage,Anchorage,Alaska,04-04-2021
31,University of Alaska Fairbanks,130,,6709.0,Fairbanks,Fairbanks North Star,Alaska,04-04-2021
32,University of Alaska Southeast,1,,1301.0,Juneau,Juneau,Alaska,04-04-2021
33,Arizona State University,"3,642",,525666.0,Tempe,Maricopa,Arizona,04-04-2021
34,Arizona Western College,41,,36787.0,Yuma,Yuma,Arizona,04-04-2021
35,Dine College,5,,11184.0,Tsaile,Apache,Arizona,04-04-2021
36,Embry-Riddle Aeronautical University at Prescott,54,,18340.0,Prescott,Yavapai,Arizona,04-04-2021
37,Grand Canyon University,"1,372",,525666.0,Phoenix,Maricopa,Arizona,04-04-2021
38,Midwestern University at Glendale,158,,525666.0,Glendale,Maricopa,Arizona,04-04-2021
39,Northern Arizona University,354,,17156.0,Flagstaff,Coconino,Arizona,04-04-2021
40,University of Arizona,"2,959",,113030.0,Tucson,Pima,Arizona,04-04-2021
41,Arkansas Northeastern College,56,,5758.0,Blytheville,Mississippi,Arkansas,04-04-2021
42,Arkansas State University,"1,153",,13104.0,Jonesboro,Craighead,Arkansas,04-04-2021
43,Arkansas State University-Newport,43,,6742.0,Newport,Jackson,Arkansas,04-04-2021
44,Arkansas Tech University,402,,7875.0,Russellville,Pope,Arkansas,04-04-2021
45,Black River Technical College,85,,1754.0,Pocahontas,Randolph,Arkansas,04-04-2021
46,Central Baptist College,20,,12235.0,Conway,Faulkner,Arkansas,04-04-2021
47,Harding University,435,,7832.0,Searcy,White,Arkansas,04-04-2021
48,Henderson State University,172,,2084.0,Arkadelphia,Clark,Arkansas,04-04-2021
49,Hendrix College,22,,12235.0,Conway,Faulkner,Arkansas,04-04-2021
50,John Brown University,66,,28235.0,Siloam Springs,Benton,Arkansas,04-04-2021
51,Lyon College,22,,3722.0,Batesville,Independence,Arkansas,04-04-2021
52,National Park College,66,,,Hot Springs,,Arkansas,04-04-2021
53,North Arkansas College,76,,3744.0,Harrison,Boone,Arkansas,04-04-2021
54,NorthWest Arkansas Community College,34,,28235.0,Bentonville,Benton,Arkansas,04-04-2021
